Date,Index,D12,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,eqis,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx
1938,13.21,0.51,0.64,0.572039388,0.0003,0.0308,0.0527,0.0252,NaN,0.0057222,0.0003,-0.027777778,0.044922789,0.055118173,0.061326554,0.11214283,0.004166964,NaN,0.29308403,0.242537273
1939,12.49,0.62,0.9,0.58070538,0.0004,0.0294,0.0492,0.0226,NaN,0.002552378,0.0004,0,0.085489834,0.059497143,0.03966276,0.066420314,0.006074034,NaN,-0.011042432,-0.056695143
1940,10.58,0.67,1.05,0.72904751,0.0002,0.0271,0.0445,0.0194,NaN,0.01259087,0.0002,0.007142857,0.118711545,0.060922431,0.033940852,0.048049995,0.004261973,NaN,-0.097791805,-0.151699658
1941,8.69,0.71,1.16,0.889509733,0.0033,0.028,0.0438,0.0204,NaN,0.01034328,0.0033,0.09929078,0.11420932,0.009318208,0.027314184,0.022472428,0.003446983,NaN,-0.113972166,-0.176767922
1942,9.77,0.59,1.03,0.862646566,0.0038,0.0281,0.0428,0.0246,NaN,0.001811779,0.0038,0.090322581,0.123800384,0.032178429,0.025981138,0.018050979,0.005100943,NaN,0.209608774,0.129990877
1943,11.67,0.61,0.94,0.787401575,0.0038,0.0274,0.0382,0.0248,NaN,0.014423725,0.0038,0.029585799,0.164305949,0.0208789,0.028325935,0.01608653,0.001962398,NaN,0.266658807,0.203312701
1944,13.28,0.64,0.93,0.743763575,0.0038,0.027,0.0349,0.0246,NaN,0.019063429,0.0038,0.022988506,0.164524422,0.028150892,0.047321891,0.008399503,0.003522317,NaN,0.211633507,0.151353138
1945,17.36,0.66,0.96,0.613239334,0.0038,0.0261,0.031,0.0199,-0.048695319,0.025526109,0.0038,0.02247191,0.211740042,0.107309039,0.040756743,0.015969244,0.004328006,NaN,0.366645234,0.309747175
1946,15.3,0.71,1.06,0.692437923,0.0038,0.0261,0.0317,0.0212,0.053106616,0.036076119,0.0038,0.181318681,0.318482102,-0.000841924,0.017229556,0.046371092,0.001781041,NaN,-0.09279653,-0.128428177
1947,15.3,0.84,1.61,0.725325679,0.0095,0.0286,0.0352,0.0243,0.070799107,0.025921859,0.0095,0.088372093,0.239629866,-0.026274661,-0.023363835,0.01933852,0.004760925,0.034309542,0.049090889,-0.006499786
1948,15.2,0.93,2.29,0.840947547,0.0116,0.0279,0.0353,0.0237,0.051623417,0.01501378,0.0116,0.02991453,0.157140448,0.033850148,0.041358787,0.02209981,0.00163301,0.034785031,0.052581722,-0.008405079
1949,16.76,1.14,2.32,0.796429284,0.011,0.0258,0.0331,0.0209,0.046136912,0.027175036,0.011,-0.020746888,0.191869113,0.06439053,0.033087624,0.012305915,0.004252018,0.028902351,0.180574489,0.097705313
1950,20.41,1.47,2.84,0.722538442,0.0134,0.0267,0.032,0.0224,0.001328065,0.031357883,0.0134,0.059322034,0.227022781,0.00050483,0.021151812,0.021461309,0.005662515,0.034356376,0.329458209,0.230298829
1951,23.77,1.41,2.44,0.721316347,0.0173,0.0301,0.0361,0.0269,0.002598962,0.036150731,0.0173,0.06,0.264823666,-0.039421605,-0.02690309,0.01218224,0.004146893,0.032474881,0.234250517,0.160197552
1952,26.57,1.41,2.4,0.694073313,0.0209,0.0297,0.0351,0.0279,0.001315169,0.026534645,0.0209,0.00754717,0.202497115,0.011693102,0.035209224,0.006590011,0.003445919,0.031826535,0.189422478,0.12279706
1953,24.81,1.45,2.51,0.759700961,0.016,0.0313,0.0374,0.0274,-0.012103958,0.024822341,0.016,0.007490637,0.203978422,0.036258194,0.034114425,0.008279479,0.00279331,0.033073224,-0.017075142,-0.073017005
1954,35.98,1.54,2.77,0.604119785,0.0115,0.029,0.0345,0.0272,0.006942402,0.0269925,0.0115,-0.007434944,0.213197436,0.071776468,0.053858485,0.008389814,0.002845475,0.031621785,0.526483051,0.449936781
1955,45.48,1.64,3.62,0.50982801,0.0254,0.0315,0.0362,0.0295,-0.009883727,0.025242998,0.0254,0.003745318,0.275390625,-0.012834489,0.00479737,0.021620209,0.000243799,0.035770278,0.312982489,0.257907838
1956,46.67,1.74,3.41,0.544176827,0.0321,0.0375,0.0437,0.0345,-0.017125558,0.026149754,0.0321,0.029850746,0.268488893,-0.055942165,-0.068146268,0.013889924,0.000969841,0.034451057,0.064274332,0.02180892
1957,39.99,1.79,3.37,0.653675779,0.0304,0.0381,0.0503,0.0323,-0.010983718,0.034872561,0.0304,0.028985507,0.227001009,0.074664669,0.087135458,0.017546851,0.000667927,0.033164236,-0.108147815,-0.1470137
1958,55.21,1.75,2.89,0.51177932,0.0277,0.0408,0.0485,0.0382,0.004866046,0.023686777,0.0277,0.017605634,0.164835165,-0.061062035,-0.022169912,0.008489224,0.001585812,0.029448938,0.437416855,0.382752521
1959,59.89,1.83,3.39,0.457783797,0.0449,0.0458,0.0528,0.0447,0.004540222,0.022857055,0.0449,0.017301038,0.262439725,-0.022663557,-0.009667896,0.008449291,0.000975372,0.03144955,0.124008285,0.0880547
1960,58.11,1.95,3.27,0.550422965,0.0225,0.0435,0.051,0.038,0.010241372,0.022760272,0.0225,0.013605442,0.204155998,0.137933943,0.090664915,0.010160586,-0.001362514,0.031273051,0.005900758,-0.028461076
1961,71.55,2.02,3.19,0.505922258,0.026,0.0442,0.051,0.0415,0.007618155,0.022322916,0.026,0.006711409,0.284412033,0.009678427,0.048183189,0.006487873,-0.002210744,0.031799631,0.271070196,0.233555473
1962,63.1,2.13,3.67,0.591627051,0.0287,0.0424,0.0492,0.0395,0.005877316,0.01996868,0.0287,0.013333333,0.162167212,0.068829489,0.079450363,0.028545104,-0.002796575,0.032708104,-0.087481619,-0.118394066
1963,75.02,2.28,4.02,0.525591454,0.0352,0.0435,0.0485,0.0417,0.005481591,0.00895399,0.0352,0.016447368,0.111474338,0.012143645,0.021948748,0.007412608,-0.001496869,0.034722396,0.226863256,0.187766724
1964,84.75,2.5,4.55,0.4872273,0.0384,0.0444,0.0481,0.0423,-0.005884284,0.023096655,0.0384,0.009708738,0.221465931,0.035117029,0.047723132,0.00279461,-0.002380573,0.036930682,0.166792769,0.131851668
1965,92.43,2.72,5.19,0.430637806,0.0438,0.0468,0.0502,0.045,-0.011343009,0.020837244,0.0438,0.019230769,0.142071036,0.00701937,-0.004567939,0.00458919,-0.000812887,0.041827104,0.126104467,0.092224791
1966,80.33,2.87,5.55,0.576945106,0.0496,0.0539,0.0618,0.0455,-0.011990896,0.017209127,0.0496,0.034591195,0.139047197,0.036450083,0.00195292,0.013935369,-4.98789E-05,0.041748522,-0.10195582,-0.132075553
1967,96.47,2.92,5.33,0.525792445,0.0497,0.0619,0.0693,0.0556,-0.028583524,0.014362334,0.0497,0.030395137,0.114686668,-0.091765265,-0.049505868,0.006989392,0.002952225,0.038951143,0.239615226,0.201047817
1968,103.86,3.07,5.76,0.504900662,0.0596,0.0645,0.0723,0.0598,-0.035283276,0.03196293,0.0596,0.04719764,0.208640626,-0.002573777,0.025739132,0.007399449,0.002347561,0.038982819,0.108266274,0.074331613
1969,92.06,3.16,5.78,0.651082013,0.0782,0.0772,0.0865,0.0687,-0.026106584,0.034273853,0.0782,0.061971831,0.313951314,-0.050736015,-0.080904314,0.010015449,0.000822252,0.039122167,-0.083186742,-0.113055244
1970,92.15,3.14,5.13,0.646426358,0.0487,0.0764,0.0912,0.0648,-0.031684923,0.031468804,0.0487,0.055702918,0.222884141,0.121021807,0.18371379,0.023043477,0.001512501,0.035515152,0.039870726,0.001636889
1971,102.09,3.07,5.7,0.643900247,0.0401,0.0725,0.0838,0.0597,-0.04696003,0.034023802,0.0401,0.032663317,0.287447328,0.132367216,0.11012586,0.010461722,0.00225388,0.035786738,0.144509656,0.109119481
1972,118.05,3.15,6.42,0.595674595,0.0507,0.0708,0.0793,0.0599,-0.046843265,0.034203267,0.0507,0.03406326,0.311294897,0.056824421,0.072597517,0.006361573,0.000311447,0.03836389,0.191170995,0.157628575
1973,97.55,3.38,8.16,0.755588463,0.0745,0.0768,0.0848,0.0726,-0.049194728,0.013007591,0.0745,0.087058824,0.333083765,-0.011103879,0.011394965,0.025068591,-0.000640199,0.040388382,-0.147965985,-0.174878956
1974,68.56,3.6,8.89,1.120018175,0.0715,0.0889,0.1063,0.076,-0.02907802,0.008772527,0.0715,0.123376623,0.163064474,0.043426493,-0.030617513,0.048042913,-0.000830488,0.036547216,-0.264261677,-0.296619228
1975,90.19,3.68,7.96,0.876338851,0.0544,0.0879,0.1056,0.0805,-0.029283152,0.023710554,0.0544,0.069364162,0.202599873,0.091868877,0.146442563,0.024263499,-0.000465116,0.032831221,0.369624806,0.3136594
1976,107.46,4.05,9.91,0.779973125,0.0435,0.0798,0.0912,0.0721,-0.020892235,0.028567074,0.0435,0.048648649,0.207928029,0.16764511,0.186468694,0.012467234,-0.001122704,0.034113449,0.239159837,0.191175251
1977,95.1,4.67,10.89,0.960333025,0.0607,0.0819,0.0899,0.0803,-0.014513305,0.030477509,0.0607,0.067010309,0.218935901,-0.006988548,0.017097783,0.008259721,-0.00183389,0.036955841,-0.074266055,-0.116925128
1978,96.11,5.07,12.33,1.045701296,0.0908,0.0916,0.0994,0.0898,-0.012761898,0.014875826,0.0908,0.090177134,0.219449153,-0.01165869,-0.000703563,0.015801217,-0.001548154,0.041013794,0.064114882,0.009448029
1979,107.94,5.65,14.86,1.061950068,0.1204,0.1074,0.1206,0.1012,-0.007662371,0.010549114,0.1204,0.132939439,0.220056739,-0.012503116,-0.042004105,0.01182307,-0.000371131,0.040553434,0.18587755,0.122834994
1980,135.76,6.16,14.82,0.891503024,0.1549,0.1321,0.1514,0.1199,-0.005725431,0.026816981,0.1549,0.125162973,0.278024289,-0.039529864,-0.02756526,0.027341856,0.001020158,0.037851842,0.325901839,0.259840596
1981,122.55,6.63,15.36,1.061142857,0.1085,0.1423,0.1655,0.1334,0.002226162,0.011909269,0.1085,0.089223638,0.362175137,0.018569706,-0.012361932,0.018130823,-0.001279466,0.039056957,-0.048638944,-0.096532793
1982,140.64,6.87,12.64,0.932214727,0.0794,0.1183,0.1414,0.1095,0.005828648,0.002989272,0.0794,0.038297872,0.364753903,0.403503691,0.425618993,0.033440923,-0.001346349,0.033227534,0.221405849,0.153918596
1983,164.93,7.09,14.03,0.700359118,0.09,0.1257,0.1375,0.1197,0.022082651,0.027021577,0.09,0.037909836,0.430007753,0.006519063,0.062585764,0.017870773,-0.001693727,0.035578477,0.222868403,0.170181635
1984,167.24,7.53,16.64,0.733098376,0.0806,0.1213,0.134,0.117,0.012993896,-0.02719701,0.0806,0.039486673,0.170737412,0.15492498,0.168601577,0.01625091,-0.001127664,0.038909802,0.066899078,0.018394959
1985,211.28,7.9,14.61,0.592692688,0.071,0.1016,0.1158,0.0956,0.024893877,-0.019466051,0.071,0.037986705,0.176455391,0.30971145,0.300908898,0.010517816,-0.001721356,0.037881921,0.31979426,0.266198131
1986,242.17,8.28,14.48,0.498430866,0.0553,0.0849,0.0997,0.0789,0.013613854,-0.011375066,0.0553,0.010978957,0.164734155,0.245212379,0.198474772,0.021676364,-0.002240325,0.03467153,0.180654052,0.138698525
1987,247.08,8.81,17.5,0.508812015,0.0577,0.1011,0.1129,0.092,0.024957646,0.013275977,0.0577,0.044343891,0.150406825,-0.027165685,-0.002675911,0.103327033,-0.00270069,0.034289131,0.051557898,0.016420105
1988,277.72,9.75,23.75,0.465283574,0.0807,0.0957,0.1065,0.0918,0.024952027,-0.021405974,0.0807,0.044194107,0.114644401,0.096665852,0.107041209,0.029262115,-0.002291317,0.034627389,0.169617622,0.120568113
1989,353.4,11.055,22.87,0.390454744,0.0763,0.0886,0.0982,0.0816,0.031475521,-0.012323269,0.0763,0.046473029,0.097787238,0.180974998,0.162313634,0.017239005,-0.002928834,0.034781285,0.313706518,0.267514017
1990,330.22,12.086,21.34,0.48449686,0.0674,0.0905,0.1043,0.0844,0.03645201,-0.00182971,0.0674,0.061062649,0.078345326,0.0616925,0.067827349,0.025450332,-0.002338233,0.032934364,-0.031922098,-0.066185682
1991,417.09,12.203,15.97,0.420344417,0.0407,0.0831,0.0926,0.073,0.02995405,0.031537634,0.0407,0.03064275,0.152766952,0.1926494,0.198889668,0.020679706,-0.001253216,0.030481106,0.306716848,0.265983041
1992,435.71,12.385,19.09,0.394109614,0.0322,0.0798,0.0881,0.0726,0.020013652,0.038713486,0.0322,0.029006526,0.150194882,0.080535796,0.093934337,0.009422495,-0.001111524,0.032395091,0.077210467,0.045915916
1993,466.45,12.577,21.89,0.305267223,0.0306,0.0693,0.0769,0.0654,0.031717217,0.045744702,0.0306,0.027484144,0.144115072,0.182345818,0.13185004,0.007417782,-0.001012497,0.034182415,0.098914426,0.068584607
1994,459.27,13.17,30.6,0.2915683,0.056,0.0846,0.091,0.0799,0.041823672,0.016595609,0.056,0.026748971,0.120390285,-0.077770776,-0.057610696,0.009652239,-0.000576007,0.036079559,0.013606584,-0.014877025
1995,615.93,13.788,33.96,0.255026383,0.0514,0.0682,0.0749,0.0603,0.039323681,0.015526865,0.0514,0.025384102,0.12124072,0.316564929,0.272042355,0.006427276,-0.000146604,0.03706793,0.376844264,0.342753758
1996,740.74,14.899,38.73,0.20734273,0.0491,0.072,0.0789,0.0673,0.04297345,0.024096962,0.0491,0.033224756,0.198665864,-0.009184554,0.01401567,0.014077528,-0.000396755,0.039387762,0.232179422,0.205370245
1997,970.43,15.497,39.72,0.178800884,0.0516,0.0676,0.0732,0.0602,0.035844419,0.015579464,0.0516,0.01702396,0.142700117,0.158659371,0.129494216,0.033199876,-0.000888779,0.041288986,0.336078126,0.312675327
1998,1229.23,16.195,37.71,0.173611315,0.0439,0.0622,0.0723,0.0542,0.021183024,0.020063813,0.0439,0.016119033,0.120658603,0.130704037,0.10755564,0.041258301,-0.001033873,0.042800983,0.293010082,0.273919645
1999,1469.25,16.692,48.17,0.147167259,0.052,0.0755,0.0819,0.0682,0.014760828,0.017899258,0.052,0.026845638,0.13845605,-0.089898841,-0.074542595,0.032677807,0.000064278,0.042943695,0.213526433,0.197948171
2000,1320.28,16.271,50,0.151851504,0.0577,0.0721,0.0802,0.0558,0.019089256,-0.002251218,0.0577,0.033868093,0.140989561,0.214934372,0.128545365,0.049216676,-0.000524853,0.043168321,-0.0850694,-0.095457481
2001,1148.08,15.74,24.69,0.131217846,0.0169,0.0677,0.0805,0.0575,0.017365692,0.013468982,0.0169,0.015517241,0.086543116,0.037027522,0.106366572,0.045605683,-0.001336167,0.037603229,-0.119101446,-0.130692843
2002,879.82,16.074,27.59,0.295385896,0.0119,0.0621,0.0745,0.0484,0.007152706,0.025738128,0.0119,0.0237691,0.082027658,0.178413928,0.166415175,0.067692227,-0.004144305,0.034160485,-0.217776499,-0.230561456
2003,1111.92,17.385,48.74,0.218739865,0.009,0.0562,0.066,0.0515,-0.003213322,0.006946144,0.009,0.018794914,0.072423089,0.008959396,0.052725551,0.029260841,NaN,0.034960188,0.286921495,0.263896044
2004,1211.92,19.442,58.55,0.270619243,0.0219,0.0547,0.0615,0.0484,-0.011844441,0.012955421,0.0219,0.032555616,0.078297462,0.084973184,0.087211543,0.012291436,NaN,0.035655673,0.10969037,0.087381828
2005,1248.29,22.216,69.83,0.313477957,0.0389,0.0537,0.0632,0.0461,-0.0021247,0.003076503,0.0389,0.034156595,0.051071208,0.078075593,0.058722731,0.010540529,NaN,0.035856773,0.052074625,0.032873386
2006,1418.3,24.884,81.51,0.2816824,0.0485,0.0532,0.0622,0.0491,-0.001544157,-0.015031338,0.0485,0.025406504,0.049123339,0.011759539,0.032355359,0.010061516,NaN,0.036616952,0.156801525,0.135087506
2007,1468.3552,27.732,66.18074431,0.250582973,0.03,0.0549,0.0665,0.045,-0.001435539,-0.04159086,0.03,0.040812686,0.077726497,0.098927963,0.025890017,0.025359755,NaN,0.037397827,0.057184644,0.037261818
2008,903.25,28.387,14.88,0.354984225,0.0003,0.0505,0.0843,0.0303,0.007393517,-0.024795418,0.0003,0.000914129,0.217403737,0.258617706,0.087896464,0.168488655,NaN,0.032566065,-0.3645796,-0.379591271
2009,1115.1,22.405,50.97,0.32553066,0.0005,0.0526,0.0637,0.0458,-0.021738994,0.010534175,0.0005,0.027213311,0.197135238,-0.148982727,0.030012264,0.074395719,NaN,0.028039866,0.264801813,0.232909808
2010,1257.64,22.729,77.35,0.358100317,0.0014,0.0502,0.061,0.0413782,-0.02845276,0.012573447,0.0014,0.014957235,0.129701667,0.10143661,0.124387394,0.032532487,NaN,0.029875702,0.151520841,0.126973639
2011,1257.6,26.425,86.95,0.357232541,0.0001,0.0393,0.0525,0.0248,-0.01863218,-0.006494089,0.0001,0.029624188,0.128186243,0.270962454,0.179396406,0.053954722,NaN,0.03187949,0.0182319,-0.002845667
2012,1426.19,31.24694207,86.51,0.349032443,0.0007,0.0365,0.0463,0.0241,-0.030283208,-0.012256741,0.0007,0.017410224,0.116498101,0.034386179,0.106748469,0.016176596,NaN,0.032558463,0.160960037,0.134092198
2013,1848.36,34.99204411,100.2,0.304408126,0.0007,0.0462,0.0538,0.0367,-0.025155604,0.012184539,0.0007,0.015017356,0.128662278,-0.127860884,-0.070794925,0.012483024,NaN,0.03309491,0.325263072,0.297248463
2014,2058.9,39.44314109,102.31,0.323755672,0.0003,0.0379,0.0474,0.024,-0.032571636,0.005642191,0.0003,0.007564933,0.10932131,0.247417148,0.172740668,0.012929451,NaN,0.033909992,0.135258968,0.112100696
2015,2043.939941,43.38788736,86.53,0.313648814,0.0023,0.0397,0.0546,0.0243,-0.041365893,-0.021610808,0.0023,0.007295198,0.10325317,-0.006406586,-0.010095966,0.023910466,NaN,0.032859382,0.014951784,-0.006711846
2016,2238.83,45.70060349,94.55,0.293479097,0.0051,0.0406,0.0483,0.0272,-0.037968769,-0.025011606,0.0051,0.020746221,0.089541671,0.017610746,0.067008052,0.017119107,NaN,0.032114532,0.117932275,0.093305035
2017,2673.610107,48.93201934,109.88,0.235393343,0.0132,0.0351,0.0422,0.0254,-0.031632396,-0.019946124,0.0132,0.021090825,0.077460349,0.062342336,0.122435337,0.004540224,NaN,0.033137374,0.219888813,0.195309261
